B1,B2,58.226
B1,B4,116.378
B1,B5,57.679
B1,B6,9.869
B1,G3,229.875
B1,T3,315.95
B1,T7,573.307
B2,B1,58.187
B2,B4,58.548
B2,B5,9.795
B2,B6,59.771
B2,G3,287.726
B2,T3,373.956
B2,T7,515.121
B4,B1,116.34
B4,B2,58.555
B4,B5,59.105
B4,B6,116.707
B4,G3,344.684
B4,T3,432.245
B4,T7,453.73
B5,B1,57.683
B5,B2,9.851
B5,B4,59.154
B5,B6,57.621
B5,G3,285.655
B5,T3,373.345
B5,T7,516.363
B6,B1,9.867
B6,B2,59.802
B6,B4,116.745
B6,B5,57.634
B6,G3,228.168
B6,T3,316.08
B6,T7,574.01
G3,B1,229.875
G3,B2,287.726
G3,B4,344.724
G3,B5,285.693
G3,B6,228.2
G3,T3,100.046
G3,T7,801.786
T3,B1,315.954
T3,B2,373.956
T3,B4,432.298
T3,B5,373.391
T3,B6,316.074
T3,G3,100.046
T3,T7,888.852
T7,B1,573.248
T7,B2,515.068
T7,B4,457.258
T7,B5,516.364
T7,B6,573.958
T7,G3,801.729
T7,T3,888.792
